title,author,publisher,price,language,pages,genre,category,target,EAN,code,year,url
Изящное искусство создавать себе врагов,Ջեյմս Ուիսթլեր,,4200 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/izyashchnoe-iskusstvo-sozdavat-sebe-vragov
О режиссуре фильма,Դեյվիդ Մամեթ,,4100 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/o-rezhissure-filma
Коммунистический постскриптум,Բորիս Գրոյս,,2700 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/kommunisticheskiy-postskriptum
Золушка беременная,Էդուարդ Լիմոնով,,2000 դրամ,,,Գեղարվեստական,Պոեզիա,,,,,https://zangakbookstore.am/zolushka-beremennaya
Девочка с желтой мухой,Էդուարդ Լիմոնով,,2000 դրամ,,,Գեղարվեստական,Պոեզիա,,,,,https://zangakbookstore.am/devochka-s-zheltoy-mukhoy
Инсектопедия,Հյու Ռաֆլզ,,11300 դրամ,,,Ոչ գեղարվեստական,Բնական գիտություններ,,,,,https://zangakbookstore.am/insektopediya
Еретики! Чудесные (и опасные) истоки философии Нового времени,Սթիվեն Նադլեր,,8700 դրամ,,,Կոմիքսներ,Գրաֆիկական վեպեր,,,,,https://zangakbookstore.am/eretiki-chudesnie-i-opasnie-istoki-filosofii-novogo-vremeni
Каннибальские метафизики,Էդուարդու Վիվեյրուշ դե Կաստրու,,6700 դրամ,,,Ոչ գեղարվեստական,Պատմություն,,,,,https://zangakbookstore.am/kannibalskie-metafiziki
Под знаком Сатурна,Սյուզեն Սոնթագ,,5700 դրամ,,,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,,,,,https://zangakbookstore.am/pod-znakom-saturna
Искусство и революция,Ջոն Բերջեր,,4200 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/iskusstvo-i-revolyutsiya
Рембрандт,Ժան Ժենե,,4200 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/rembrandt
