Գույնը,ISBN,Հեղինակ,Էջերի քանակը,Կոդ,Տարեթիվ,Կազմ,Արտադրող,User ID,Երկիր,Լեզու,Լրացուցիչ նկարներ
,,,,022801,2013,,,,,Հայերեն,
,,,400,0151192,2021,Կոշտ,,,,,
,,,,K94011,,,,,,Հայերեն,
,,,24,K9367002,- /,,,,,,
,,,24,K9367001,- /,,,,,,
,,,24,K93670,- /,,,,,,
,,,,K93668,,,,,,Հայերեն,
,,,,K90224,,,,,Հայաստան,,
,,,,K80541,,Կոշտ,,,Հայաստան,,
,,,,K75560,,Կոշտ,,,Հայաստան,,
,,,460,K048939,1980,Կոշտ,,,,,
,,,,K048938,2009,Կոշտ,,,,,
,,Կարեն Ղարսլյան,,K048936,,,,,Հայաստան,Հայերեն,
,,,,K048935,2022,,,,Հայաստան,Հայերեն,
,,,,K035368,2019,,,,Հայաստան,Հայերեն,
,,,14,K035365,,Կոշտ,,,,,
,,,,K035364,,,,,,Հայերեն,
,,,,K030153,2018,,,,,Հայերեն,
,,Սվամի Վիվեկանանդա,,K034345,,,,,Հայաստան,Հայերեն,
,,,,K0151093,2021,,,,Հայաստան,Հայերեն,
,,,32,K93936,- /,,,,,,
,,,,K37177,2010,,,,Հայաստան,Հայերեն,
,,,,K048930,,,,,Հայաստան,Հայերեն,
,,,,K048928,2022,,,,Հայաստան,Հայերեն,
,,,354,047666,,Կոշտ,,,,,
,,,292,K048927,2018,Կոշտ,,,,,
,,Hoover Colleen,377,K048926,,,,,,,
,,,,K18871,1987,,,,,Ռուսերեն,
,,,,17778,,,,,,,
,,Պաշտոնական տեղեկագիր,,16565,,,,,,,
,,Դյուպյուրի Աիլվիան,,K36366,,,,,Հայաստան,,
,,,,K32106,2014,,,,Հայաստան,Հայերեն,
,,,,K15908,2003,,,,Հայաստան,Հայերեն,
,,Լըմոյնե Կամիլ,140,K15435,,,,,,,
,,Բարոնյան Ժան-Բատիստ,200,K15335,,,,,,,
,,Ժան - Բատիստ Բարոնյան,142,K13227,,,,,,,
,,,,K11996,,,,,,Հայերեն,
,,,,K048925,2011,,,,Ֆրանսիա,Անգլերեն,
,,Ալեն Պետր,32,K048924,,,,,,,
,,Պարույր Սևակ,,K048923,,,,,Հայաստան,Հայերեն,
,,,,K048539,2010,,,,Հայաստան,Հայերեն,
